time,F_gravity,F_s,F_fric,F_gfl,F_gfr,F_grl,F_grr
21.142,-588.5999755859375,8233.884765625,-1.571367859840393,147.73854064941406,147.93446350097656,146.3656463623047,146.56134033203125
21.242,-588.5999755859375,8235.7001953125,-1.485921859741211,149.11993408203125,141.28073120117188,153.2162628173828,144.9830780029297
21.342,-588.5999755859375,8237.6806640625,-1.4000463485717773,147.4369659423828,145.93310546875,148.37387084960938,146.85606384277344
21.442,-588.5999755859375,8239.744140625,-1.313506007194519,148.59130859375,146.21664428710938,148.10081481933594,145.6912384033203
21.542,-588.5999755859375,8241.9189453125,-1.2264392375946045,147.64500427246094,145.47230529785156,148.84228515625,146.64039611816406
21.642,-588.5999755859375,8244.232421875,-1.1492280960083008,143.29251098632812,141.38194274902344,152.9293212890625,150.99623107910156
21.742,-588.5999755859375,8246.84375,-1.1468743085861206,147.6375732421875,145.76788330078125,148.54290771484375,146.65162658691406
21.842,-588.5999755859375,8249.564453125,-1.1451252698898315,145.6952667236328,149.03347778320312,145.29983520507812,148.5714111328125
21.942,-588.5999755859375,8252.5849609375,-1.1444954872131348,147.69732666015625,146.8907928466797,147.4112091064453,146.60067749023438
22.042,-588.5999755859375,8255.4912109375,-1.1450004577636719,147.239990234375,146.37095642089844,147.93136596679688,147.05770874023438
22.142,-588.5999755859375,8258.3671875,-1.1465476751327515,146.85594177246094,147.6443634033203,146.6575164794922,147.44216918945312
22.242,-588.5999755859375,8261.1435546875,-1.148851990699768,148.00962829589844,147.30813598632812,146.9933624267578,146.2888641357422
22.342,-588.5999755859375,8264.0576171875,-1.1513499021530151,147.62112426757812,146.31369018554688,147.99156188964844,146.6736297607422
22.442,-588.5999755859375,8267.0966796875,-1.1534056663513184,146.84573364257812,147.757568359375,146.54495239257812,147.45175170898438
22.542,-588.5999755859375,8270.080078125,-1.1545735597610474,147.75193786621094,146.71949768066406,147.58377075195312,146.5447998046875
22.642,-588.5999755859375,8273.0478515625,-1.2262338399887085,147.5758514404297,148.45362854003906,145.8487091064453,146.72181701660156
22.742,-588.5999755859375,8275.9345703125,-1.3094266653060913,144.8477783203125,147.3327178955078,146.98583984375,149.43365478515625
22.842,-588.5999755859375,8278.876953125,-1.393912434577942,146.63681030273438,146.956298828125,147.34400939941406,147.66287231445312
22.942,-588.5999755859375,8281.7939453125,-1.478584885597229,145.84059143066406,148.51638793945312,145.8050994873047,148.4379119873047
23.042,-588.5999755859375,8284.7607421875,-1.5650968551635742,145.99630737304688,148.23704528808594,146.07806396484375,148.28857421875
23.142,-588.5999755859375,8287.6259765625,-1.6538249254226685,147.2025604248047,147.10816955566406,147.19186401367188,147.09742736816406
23.242,-588.5999755859375,8290.1953125,-1.7450717687606812,146.74258422851562,148.4080810546875,145.90029907226562,147.54904174804688
23.342,-588.5999755859375,8292.4599609375,-1.8371548652648926,145.79290771484375,146.4867401123047,147.81472778320312,148.50563049316406
23.442,-588.5999755859375,8294.408203125,-1.9283692836761475,149.6552276611328,144.36044311523438,150.0279541015625,144.55638122558594
23.542,-588.5999755859375,8296.091796875,-2.0145957469940186,147.1561737060547,148.1588134765625,146.14422607421875,147.14077758789062
23.642,-588.5999755859375,8297.6142578125,-2.0926263332366943,144.38992309570312,151.98193359375,142.48617553710938,149.74195861816406
23.742,-588.5999755859375,8299.1103515625,-2.1640419960021973,146.25570678710938,148.85740661621094,145.46292114257812,148.0239715576172
23.842,-588.5999755859375,8300.5771484375,-2.229917526245117,146.12808227539062,148.7653350830078,145.55555725097656,148.15103149414062
23.942,-588.5999755859375,8302.05859375,-2.2916533946990967,144.0794219970703,147.76148986816406,146.57896423339844,150.1801300048828
24.042,-588.5999755859375,8303.447265625,-2.3490896224975586,147.699951171875,147.9057159423828,146.39442443847656,146.59991455078125
24.142,-588.5999755859375,8304.658203125,-2.4015560150146484,145.26113891601562,150.48779296875,143.89297485351562,148.9580841064453
24.242,-588.5999755859375,8305.6806640625,-2.450571060180664,148.2041473388672,148.05055236816406,146.24951171875,146.0957794189453
24.342,-588.5999755859375,8306.51953125,-2.4515953063964844,145.58853149414062,148.18045043945312,146.1397247314453,148.6912841796875
24.442,-588.5999755859375,8306.9755859375,-2.45236873626709,148.22573852539062,146.2041473388672,148.1084747314453,146.0616455078125
24.542,-588.5999755859375,8307.1630859375,-2.4525089263916016,147.57498168945312,146.83917236328125,147.4624786376953,146.72335815429688
24.642,-588.5999755859375,8306.8828125,-2.452021598815918,146.00099182128906,148.29937744140625,146.01651000976562,148.28311157226562
24.742,-588.5999755859375,8306.3505859375,-2.4510600566864014,146.99594116210938,147.04176330566406,147.25823974609375,147.30404663085938
24.842,-588.5999755859375,8305.412109375,-2.4497945308685303,147.17225646972656,147.4838409423828,146.8164520263672,147.12745666503906
24.942,-588.5999755859375,8304.109375,-2.4485366344451904,146.09442138671875,148.2535400390625,146.0605010986328,148.19154357910156
25.042,-588.5999755859375,8302.65625,-2.4168689250946045,147.49441528320312,150.23504638671875,144.08749389648438,146.7830352783203
25.142,-588.5999755859375,8300.8662109375,-2.3680038452148438,148.67428588867188,147.10911560058594,147.1984405517578,145.6181640625
25.242,-588.5999755859375,8298.82421875,-2.3148813247680664,147.01181030273438,144.87586975097656,149.43821716308594,147.2740936279297
25.342,-588.5999755859375,8296.5478515625,-2.257659912109375,147.38710021972656,145.0467529296875,149.2701873779297,146.8959503173828
