%time,field.header.seq,field.header.stamp,field.header.frame_id,field.state0,field.state1,field.state2,field.state3,field.state4,field.state5,field.state6,field.state7,field.state8,field.state9,field.state10,field.state11,field.state12,field.state13,field.state14,field.state15,field.state16,field.state17,field.state18,field.state19,field.state20,field.state21,field.state22,field.state23,field.state24,field.state25,field.state26,field.state27,field.state28
1736346544680201077,67,1736346544679806232,,0.0,0.0,0.3920244872570038,1.0,0.0,0.0,0.0,0.0,0.0,-0.35523658990859985,1.0289919823058134e-21,-3.393706372422698e-21,3.9693475357869417e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014475655043497682,-0.0014475655043497682,-0.0014475655043497682,-0.0014475655043497682,0.01614055223762989,0.01614055223762989,0.01614055223762989,0.01614055223762989
1736346544694144783,68,1736346544688343286,,0.0,0.0,0.3920244872570038,1.0,0.0,0.0,0.0,0.0,0.0,-0.35523658990859985,1.0289919823058134e-21,-3.393706372422698e-21,3.9693475357869417e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014475655043497682,-0.0014475655043497682,-0.0014475655043497682,-0.0014475655043497682,0.01614055223762989,0.01614055223762989,0.01614055223762989,0.01614055223762989
1736346544706692988,69,1736346544705630064,,0.0,0.0,0.3916653096675873,1.0,0.0,0.0,0.0,0.0,0.0,-0.36314788460731506,1.0366421912815785e-21,-3.4189374005894826e-21,3.746934519726527e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014308716636151075,-0.0014308716636151075,-0.0014308716636151075,-0.0014308716636151075,0.017211852595210075,0.017211852595210075,0.017211852595210075,0.017211852595210075
1736346544714125967,70,1736346544711113214,,0.0,0.0,0.3916653096675873,1.0,0.0,0.0,0.0,0.0,0.0,-0.36314788460731506,1.0366421912815785e-21,-3.4189374005894826e-21,3.746934519726527e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014308716636151075,-0.0014308716636151075,-0.0014308716636151075,-0.0014308716636151075,0.017211852595210075,0.017211852595210075,0.017211852595210075,0.017211852595210075
1736346544725338191,71,1736346544722070455,,0.0,0.0,0.39129820466041565,1.0,0.0,0.0,0.0,0.0,0.0,-0.3710591495037079,1.0307374222555927e-21,-3.399463113277541e-21,3.759096983248951e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014132107608020306,-0.0014132107608020306,-0.0014132107608020306,-0.0014132107608020306,0.018075400963425636,0.018075400963425636,0.018075400963425636,0.018075400963425636
1736346544730318455,72,1736346544728143215,,0.0,0.0,0.39129820466041565,1.0,0.0,0.0,0.0,0.0,0.0,-0.3710591495037079,1.0307374222555927e-21,-3.399463113277541e-21,3.759096983248951e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014132107608020306,-0.0014132107608020306,-0.0014132107608020306,-0.0014132107608020306,0.018075400963425636,0.018075400963425636,0.018075400963425636,0.018075400963425636
1736346544747457629,73,1736346544745195150,,0.0,0.0,0.3909232020378113,1.0,0.0,0.0,0.0,0.0,0.0,-0.3789704442024231,9.87456650732176e-22,-3.2567191237528077e-21,3.70973325166959e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013947876868769526,-0.0013947876868769526,-0.0013947876868769526,-0.0013947876868769526,0.018737638369202614,0.018737638369202614,0.018737638369202614,0.018737638369202614
1736346544755859738,74,1736346544752285003,,0.0,0.0,0.3909232020378113,1.0,0.0,0.0,0.0,0.0,0.0,-0.3789704442024231,9.87456650732176e-22,-3.2567191237528077e-21,3.70973325166959e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013947876868769526,-0.0013947876868769526,-0.0013947876868769526,-0.0013947876868769526,0.018737638369202614,0.018737638369202614,0.018737638369202614,0.018737638369202614
1736346544766596127,75,1736346544763957023,,0.0,0.0,0.3905402719974518,1.0,0.0,0.0,0.0,0.0,0.0,-0.3868817389011383,1.0014571268860978e-21,-3.302894219626593e-21,3.852160061703242e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013757997658103704,-0.0013757997658103704,-0.0013757997658103704,-0.0013757997658103704,0.0192062146961689,0.0192062146961689,0.0192062146961689,0.0192062146961689
1736346544771647311,76,1736346544770331621,,0.0,0.0,0.3905402719974518,1.0,0.0,0.0,0.0,0.0,0.0,-0.3868817389011383,1.0014571268860978e-21,-3.302894219626593e-21,3.852160061703242e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013757997658103704,-0.0013757997658103704,-0.0013757997658103704,-0.0013757997658103704,0.0192062146961689,0.0192062146961689,0.0192062146961689,0.0192062146961689
